npi,tier,hospital_affiliated,known_autonomic_biller,state,taxonomy
1386104362,off-grid,Y,N,RI,Neurological Surgery
1003575697,T5,N,N,MA,"Dietitian, Registered"
1083880033,off-grid,Y,N,MA,Emergency Medicine
1245397819,off-grid,N,N,MA,Psychiatry & Neurology - Psychiatry
1851639876,off-grid,N,N,MA,Nurse Practitioner - Pediatrics
1699727479,T5,N,N,MA,Emergency Medicine
1801149737,off-grid,Y,N,MA,Nurse Practitioner - Family
1124557376,off-grid,N,N,MA,Physician Assistant
1326120205,T5,Y,N,NC,Specialist
1689162885,off-grid,N,N,MA,Nurse Practitioner - Psychiatric/Mental Health
1467010504,off-grid,N,N,ME,Optometrist
1578898201,off-grid,Y,N,NH,Surgery - Plastic and Reconstructive Surgery
1851829329,off-grid,N,N,NY,Student in an Organized Health Care Education/Training Program
1194831438,T1,N,N,MA,Social Worker - Clinical
1891420022,off-grid,Y,N,MA,Social Worker - Clinical
1588823256,off-grid,N,N,MA,Internal Medicine
1154486603,T1,N,N,MA,Registered Nurse
1285904532,T3,N,N,NH,Nurse Practitioner
1831521277,T1,N,N,MA,Counselor - Mental Health
1598443863,off-grid,N,N,MA,Nurse Practitioner - Gerontology
1427286459,T1,N,N,MA,Counselor - Mental Health
1093278749,off-grid,N,N,MA,Internal Medicine
1336717305,off-grid,N,N,MA,Physician Assistant - Medical
1124046040,off-grid,Y,N,RI,Internal Medicine - Cardiovascular Disease
1013550623,off-grid,Y,N,WA,Physician Assistant
1174685234,T1,N,N,GA,Counselor
1316200223,off-grid,N,N,NH,Counselor - Mental Health
1508091281,off-grid,N,N,ME,Psychiatry & Neurology - Addiction Psychiatry
1356951008,off-grid,Y,N,MA,Nurse Practitioner
1861029654,off-grid,N,N,ME,Family Medicine
1932105780,off-grid,N,N,RI,Internal Medicine
1568588135,T1,N,N,MA,Social Worker - Clinical
1366423154,off-grid,N,N,ME,Pediatrics - Pediatric Gastroenterology
1942773387,T1,N,N,MA,Social Worker - Clinical
1831503218,off-grid,Y,N,MA,Internal Medicine - Medical Oncology
1952397697,off-grid,N,N,MA,Ophthalmology
1477005353,off-grid,N,N,ME,Nurse Practitioner - Family
1215563010,off-grid,N,N,MA,Emergency Medicine
1609880319,off-grid,N,N,VT,Social Worker - Clinical
1902803430,T5,N,N,MA,Physical Medicine & Rehabilitation
1053303313,off-grid,N,N,NH,Orthopaedic Surgery - Orthopaedic Surgery of the Spine
1972164853,off-grid,Y,N,RI,Internal Medicine
1033666110,off-grid,N,N,ME,Nurse Practitioner
1396726592,off-grid,Y,N,MA,Emergency Medicine
1477989929,T3,N,N,RI,Nurse Practitioner - Family
1255318341,T3,N,N,RI,Nurse Practitioner - Psychiatric/Mental Health
1821400110,off-grid,Y,N,NE,Internal Medicine - Infectious Disease
1669796215,off-grid,N,N,ME,Internal Medicine - Cardiovascular Disease
1609894104,off-grid,N,N,MA,Psychiatry & Neurology - Neurology
1508861287,off-grid,N,N,AL,Radiology - Diagnostic Radiology
1184736381,off-grid,N,N,NH,Internal Medicine
1457024655,T5,N,N,MA,Psychologist - Clinical
1407897614,off-grid,N,N,ME,Podiatrist
1659018570,off-grid,N,N,MA,Counselor - Mental Health
1366595225,off-grid,Y,N,MA,Internal Medicine - Cardiovascular Disease
1831425057,off-grid,N,N,ME,Marriage & Family Therapist
1093275133,off-grid,Y,N,MA,Internal Medicine - Medical Oncology
1437217221,T3,N,N,MA,"Clinical Nurse Specialist - Psychiatric/Mental Health, Adult"
1992907505,off-grid,N,N,MA,Emergency Medicine
1861130668,off-grid,N,N,ME,Hospitalist
1770211252,off-grid,Y,N,ME,Physician Assistant
1851376784,T5,N,N,MA,Emergency Medicine - Pediatric Emergency Medicine
1215711213,off-grid,Y,N,MA,Nurse Practitioner - Gerontology
1801086947,T5,N,N,RI,Pediatrics
1215151329,off-grid,Y,N,RI,Psychiatry & Neurology - Psychiatry
1003597303,off-grid,N,N,MA,Nurse Practitioner
1437360500,T1,N,N,CT,Counselor - Professional
1407235534,off-grid,N,N,ME,Surgery - Vascular Surgery
1306907829,T1,N,N,MA,Counselor - Mental Health
1386303188,off-grid,N,N,FL,Counselor - Mental Health
1558878165,off-grid,Y,N,MA,Nurse Practitioner - Family
1013075993,T4,N,N,NH,Podiatrist - Foot & Ankle Surgery
1851962385,off-grid,N,N,MA,Social Worker
1427224120,T1,N,N,MA,Counselor - Mental Health
1629100599,T3,N,N,MA,Nurse Practitioner - Pediatrics
1629520168,off-grid,Y,N,MA,Social Worker
1851851901,T5,N,N,MA,Hospitalist
1417925116,off-grid,N,N,ME,Family Medicine
1821166968,T1,N,N,MA,Social Worker - Clinical
1649276494,off-grid,N,N,RI,Internal Medicine - Gastroenterology
1336492669,off-grid,Y,N,ME,Nurse Practitioner - Adult Health
1689134785,off-grid,N,N,ME,Emergency Medicine
1972540474,off-grid,Y,N,MA,Radiology - Neuroradiology
1194161224,T2,N,N,ME,Counselor - Professional
1598175432,off-grid,Y,N,MA,Urology
1891417143,off-grid,N,N,ME,Nurse Practitioner - Psychiatric/Mental Health
